u,u_c_agg_count_unique_max,u_c_agg_count_unique_median,u_c_agg_count_unique_mean,u_c_agg_count_unique_std
781924,8,0,2.6666666666666665,3.7712361663282534
13325038116,4,0,1.3333333333333333,1.8856180831641267
13854627199,19,4,7.666666666666667,8.178562764256865
15963883482,5,3,2.6666666666666665,2.0548046676563256
15963885355,9,3,4.0,3.7416573867739413
18654692914,7,3,3.3333333333333335,2.8674417556808756
18764569988,5,0,1.6666666666666667,2.357022603955158
1590120464497,21,16,16.333333333333332,3.6817870057290873
1590120718170,5,1,2.0,2.160246899469287
1590130640102,11,11,9.666666666666666,1.8856180831641267
1590130817948,5,3,2.6666666666666665,2.0548046676563256
1590140304209,26,15,14.0,10.23067283548187
1590140304506,12,0,4.0,5.656854249492381
1590140305107,22,20,17.333333333333332,5.2493385826745405
1590140306678,12,4,6.0,4.320493798938574
1590140307286,16,7,9.0,5.0990195135927845
1590140307415,16,7,7.666666666666667,6.548960901462833
1590140307767,20,9,9.666666666666666,8.178562764256865
1590140307859,8,4,4.0,3.265986323710904
1590140308030,12,0,4.0,5.656854249492381
1590140308214,17,11,11.666666666666666,4.109609335312651
1590141216259,8,6,4.666666666666667,3.39934634239519
1590141414228,4,1,1.6666666666666667,1.699673171197595
1590142128124,19,15,13.666666666666666,4.988876515698588
1590142129763,11,6,5.666666666666667,4.4969125210773475
1590142148962,12,3,5.333333333333333,4.784233364802441
1590142149112,2,2,1.3333333333333333,0.9428090415820634
1590142149853,10,0,3.3333333333333335,4.714045207910316
1590142150507,10,0,3.3333333333333335,4.714045207910316
1590142151689,7,4,3.6666666666666665,2.8674417556808756
1590142152440,9,6,6.666666666666667,1.699673171197595
1590142176354,11,0,3.6666666666666665,5.185449728701348
1590142176521,10,2,4.0,4.320493798938574
1590142179621,13,6,8.333333333333334,3.2998316455372216
1590142191722,14,5,7.0,5.0990195135927845
1590142194327,5,0,1.6666666666666667,2.357022603955158
1590142197076,16,9,9.0,5.715476066494082
1590142201513,2,0,0.6666666666666666,0.9428090415820634
1590142202190,1,1,0.6666666666666666,0.4714045207910317
1590142203104,20,15,16.0,2.943920288775949
1590142203180,23,15,12.666666666666666,9.533566430716727
1590142203401,6,4,3.6666666666666665,2.0548046676563256
1590142204569,8,3,4.666666666666667,2.357022603955158
1590142205993,17,15,10.666666666666666,7.586537784494029
1590142206747,21,0,7.0,9.899494936611665
1590142213189,9,0,3.0,4.242640687119285
1590142213356,12,10,10.666666666666666,0.9428090415820634
1590142213981,8,4,4.0,3.265986323710904
1590142215619,12,3,6.0,4.242640687119285
1590142240482,2,1,1.0,0.816496580927726
1590142456470,8,7,5.0,3.559026084010437
1590142477895,8,0,2.6666666666666665,3.7712361663282534
1590142514866,10,0,3.3333333333333335,4.714045207910316
1590142516068,3,0,1.0,1.4142135623730951
1590142516600,12,0,4.0,5.656854249492381
1590142517836,5,0,1.6666666666666667,2.357022603955158
1590142518307,8,6,4.666666666666667,3.39934634239519
1590142519632,12,0,4.0,5.656854249492381
1590142520300,4,3,2.3333333333333335,1.699673171197595
1590142648356,12,6,7.0,3.7416573867739413
1590142751995,4,0,1.3333333333333333,1.8856180831641267
1590150321449,9,5,6.0,2.160246899469287
1590151076256,3,0,1.0,1.4142135623730951
1590151210391,7,0,2.3333333333333335,3.2998316455372216
1590151321240,19,6,9.333333333333334,6.944222218666553
1590151363066,11,3,4.666666666666667,4.642796092394707
1590151428581,3,0,1.0,1.4142135623730951
1590151432557,8,3,3.6666666666666665,3.299831645537222
1590151459721,12,4,6.333333333333333,4.0276819911981905
1590151464053,11,6,7.0,2.943920288775949
1590151467962,9,6,5.666666666666667,2.8674417556808756
1590151472027,18,13,14.0,2.943920288775949
1590151500423,7,3,3.3333333333333335,2.8674417556808756
1590151682891,16,0,5.333333333333333,7.542472332656507
1590151825175,20,13,14.333333333333334,4.189935029992178
1590151832593,15,15,14.333333333333334,0.9428090415820634
1590151835808,8,3,3.6666666666666665,3.299831645537222
1590151842899,12,11,9.333333333333334,3.0912061651652345
1590151843124,22,5,10.0,8.524474568362947
1590151977348,5,3,3.0,1.632993161855452
1591012978559,11,2,4.333333333333333,4.784233364802441
1591013167365,7,6,6.0,0.816496580927726
1591013471721,5,0,1.6666666666666667,2.357022603955158
1591013766650,25,6,10.333333333333334,10.656244908763853
1591013866800,6,3,3.0,2.449489742783178
1591013877134,9,0,3.0,4.242640687119285
1591014083046,18,14,12.0,5.887840577551898
1591014130276,7,1,2.6666666666666665,3.091206165165235
1591014214433,15,6,8.333333333333334,4.784233364802441
1591014338276,9,0,3.0,4.242640687119285
1591014523610,5,4,3.6666666666666665,1.247219128924647
1591014577972,15,0,5.0,7.0710678118654755
1591014680184,12,8,9.333333333333334,1.8856180831641267
1591015027858,4,0,1.3333333333333333,1.8856180831641267
1591015034924,5,4,4.0,0.816496580927726
1591015074944,15,0,5.0,7.0710678118654755
1591015097233,6,6,4.0,2.8284271247461903
1591015097516,9,8,6.0,3.559026084010437
1591015136338,14,9,7.666666666666667,5.792715732327589
1591015218485,7,6,5.0,2.160246899469287
1591015269418,10,4,6.0,2.8284271247461903
1591015327590,15,8,7.666666666666667,6.128258770283412
1591015408602,11,8,8.0,2.449489742783178
1591015419448,10,8,6.0,4.320493798938574
1591015420000,10,0,3.3333333333333335,4.714045207910316
1591015452933,14,11,10.666666666666666,2.8674417556808756
1591015454210,15,13,10.333333333333334,5.2493385826745405
1591015454562,13,5,6.0,5.354126134736337
1591015454692,3,2,1.6666666666666667,1.247219128924647
1591015454814,22,8,10.666666666666666,8.379870059984357
1591015456955,11,7,8.333333333333334,1.8856180831641267
1591015476700,4,3,3.3333333333333335,0.4714045207910317
1591015478124,12,10,9.0,2.943920288775949
1591015480745,6,0,2.0,2.8284271247461903
1591015483951,17,7,8.0,6.97614984548545
1591015501716,8,4,4.666666666666667,2.494438257849294
1591015506575,10,9,6.333333333333333,4.4969125210773475
1591015519216,15,10,10.0,4.08248290463863
1591015521639,6,6,5.666666666666667,0.4714045207910317
1591015600815,8,0,2.6666666666666665,3.7712361663282534
1591015604417,21,10,11.666666666666666,7.039570693980959
1591016154157,9,6,6.333333333333333,2.0548046676563256
1591016159916,13,0,4.333333333333333,6.128258770283412
1591016170300,6,3,3.6666666666666665,1.699673171197595
1591016172045,10,5,5.333333333333333,3.6817870057290873
1591016174353,27,18,15.0,11.224972160321824
1591016174957,16,10,9.333333333333334,5.734883511361751
1591016310287,16,14,12.666666666666666,3.39934634239519
1591016320026,8,0,2.6666666666666665,3.7712361663282534
1591016411137,10,0,3.3333333333333335,4.714045207910316
1591016439575,7,0,2.3333333333333335,3.2998316455372216
1591016443121,3,2,1.6666666666666667,1.247219128924647
1591016494765,3,0,1.0,1.4142135623730951
1591016517778,5,4,3.0,2.160246899469287
1591016517921,21,7,9.333333333333334,8.73053390247253
1591016519031,12,8,8.333333333333334,2.8674417556808756
1591020269281,11,9,6.666666666666667,4.784233364802441
1591020377344,14,0,4.666666666666667,6.599663291074443
1591020695158,4,1,1.6666666666666667,1.699673171197595
1591020742401,13,6,8.333333333333334,3.2998316455372216
1591020742449,7,0,2.3333333333333335,3.2998316455372216
1591030092053,4,1,2.0,1.4142135623730951
1591030217500,18,3,7.333333333333333,7.586537784494029
1591030411823,4,3,2.3333333333333335,1.699673171197595
1591040087452,16,0,5.333333333333333,7.542472332656507
1591040155274,5,0,1.6666666666666667,2.357022603955158
1591040161114,5,4,3.0,2.160246899469287
1591040356657,9,4,5.666666666666667,2.357022603955158
1591040416658,19,9,12.0,4.96655480858378
1591040462983,9,0,3.0,4.242640687119285
1591040497398,6,0,2.0,2.8284271247461903
1592010017509,14,10,9.333333333333334,4.109609335312651
1592013087615,15,6,8.0,5.0990195135927845
1592014016171,7,7,4.666666666666667,3.299831645537222
1592015013285,14,11,10.333333333333334,3.2998316455372216
1592015016880,15,6,8.0,5.0990195135927845
1592015018662,5,0,1.6666666666666667,2.357022603955158
1592015026841,9,8,6.666666666666667,2.6246692913372702
1592015046818,19,4,8.333333333333334,7.586537784494028
1592015053267,32,20,22.333333333333332,7.133644853010899
1592015056299,15,15,13.666666666666666,1.8856180831641267
1592015056343,20,16,15.0,4.546060565661952
1592015058781,28,0,9.333333333333334,13.199326582148887
1592015059993,11,0,3.6666666666666665,5.185449728701348
1593140971419,4,2,2.0,1.632993161855452
1593141148827,9,7,7.666666666666667,0.9428090415820634
1593150463515,13,13,9.666666666666666,4.714045207910316
1594140121125,2,0,0.6666666666666666,0.9428090415820634
1594140460286,3,2,2.0,0.816496580927726
1595112593216,6,5,4.333333333333333,1.699673171197595
1595130081566,11,6,6.666666666666667,3.2998316455372216
1595150263683,8,1,3.3333333333333335,3.2998316455372216
1595150403423,12,8,7.333333333333333,4.109609335312651
1595150738976,10,0,3.3333333333333335,4.714045207910316
1595150770945,10,7,5.666666666666667,4.189935029992178
1595150771652,18,17,12.333333333333334,7.318166133366716
1595150883423,7,6,5.0,2.160246899469287
1595150997786,4,2,2.0,1.632993161855452
1595151123344,8,4,5.333333333333333,1.8856180831641267
1595151204906,11,3,5.333333333333333,4.0276819911981905
1595151355660,7,6,6.0,0.816496580927726
1595151375125,5,0,1.6666666666666667,2.357022603955158
1595151442803,5,4,4.333333333333333,0.4714045207910317
1595151609213,7,6,6.0,0.816496580927726
1595151616471,15,10,10.666666666666666,3.2998316455372216
1595151629143,7,4,4.0,2.449489742783178
1595151630446,17,9,8.666666666666666,6.944222218666553
1595151630774,4,3,2.3333333333333335,1.699673171197595
1595151631146,4,0,1.3333333333333333,1.8856180831641267
1595151738968,4,4,3.3333333333333335,0.9428090415820634
1595151866807,11,10,9.0,2.160246899469287
1595151915963,19,17,16.0,2.943920288775949
1595160035249,9,8,7.333333333333333,1.699673171197595
1595160353664,5,4,4.0,0.816496580927726
1596130424193,3,0,1.0,1.4142135623730951
1596140586607,13,3,5.333333333333333,5.557777333511022
1596140587802,3,3,2.6666666666666665,0.4714045207910317
1596140594374,14,11,8.333333333333334,6.018490028422597
1596140628703,12,5,6.666666666666667,3.8586123009300755
1596160006376,13,5,7.333333333333333,4.0276819911981905
1596160024097,11,11,10.0,1.4142135623730951
1596160058337,8,7,5.0,3.559026084010437
1598140107578,12,3,5.0,5.0990195135927845
1598140129341,6,4,3.6666666666666665,2.0548046676563256
2900000040663,12,4,5.333333333333333,4.988876515698588
2900000050419,1,1,0.6666666666666666,0.4714045207910317
2900000050785,29,9,13.333333333333334,11.440668201153676
2900000071742,13,7,8.333333333333334,3.39934634239519
2900000072022,33,12,16.333333333333332,12.229290885229428
2900000072701,4,0,1.3333333333333333,1.8856180831641267
2900000074163,10,9,8.0,2.160246899469287
2900000124974,12,10,8.0,4.320493798938574
2900000125261,15,1,5.333333333333333,6.847546194724712
2900000164567,7,5,5.333333333333333,1.247219128924647
2900000177079,11,6,6.666666666666667,3.299831645537222
2900000178106,10,9,6.333333333333333,4.4969125210773475
2900000179417,6,3,3.3333333333333335,2.0548046676563256
2900000192492,7,4,3.6666666666666665,2.8674417556808756
2900000194298,2,0,0.6666666666666666,0.9428090415820634
2900000203457,15,0,5.0,7.0710678118654755
2900000210790,5,4,4.0,0.816496580927726
2900000224001,18,9,12.0,4.242640687119285
2900000224315,16,4,6.666666666666667,6.79869268479038
2900000239876,9,3,4.0,3.7416573867739413
2900000245396,17,9,10.333333333333334,4.988876515698588
2900000245914,22,21,14.333333333333334,10.143416036468626
2900000246638,12,3,6.0,4.242640687119285
2900000253230,10,10,6.666666666666667,4.714045207910317
2900000254503,2,2,1.3333333333333333,0.9428090415820634
2900000255463,26,12,12.666666666666666,10.624918300339486
2900000256637,11,0,3.6666666666666665,5.185449728701348
2900000268692,9,7,6.0,2.943920288775949
2900000271814,17,15,12.0,5.715476066494082
2900000284333,9,0,3.0,4.242640687119285
2900000304376,8,5,5.666666666666667,1.699673171197595
2900000307377,3,2,1.6666666666666667,1.247219128924647
2900000308312,19,18,12.333333333333334,8.73053390247253
2900000317307,11,4,5.0,4.546060565661952
2900000330863,11,10,9.333333333333334,1.699673171197595
2900000337633,9,0,3.0,4.242640687119285
2900000339637,9,0,3.0,4.242640687119285
2900000342651,7,5,5.333333333333333,1.247219128924647
2900000345300,7,3,3.3333333333333335,2.8674417556808756
2900000348561,2,2,1.6666666666666667,0.4714045207910317
2900000350175,19,11,12.333333333333334,4.988876515698588
2900000350458,12,12,8.333333333333334,5.185449728701348
2900000353848,16,3,6.666666666666667,6.64997911442
2900000372849,19,1,6.666666666666667,8.73053390247253
2900000383913,36,32,28.666666666666668,7.71722460186015
2900000384187,5,0,1.6666666666666667,2.357022603955158
2900000385627,4,0,1.3333333333333333,1.8856180831641267
2900000386440,21,9,12.333333333333334,6.182412330330469
2900000386495,5,3,3.6666666666666665,0.9428090415820634
2900000390256,1,0,0.3333333333333333,0.4714045207910317
2900000394940,6,5,3.6666666666666665,2.6246692913372702
2900000404731,9,2,3.6666666666666665,3.8586123009300755
2900000408586,11,7,7.666666666666667,2.494438257849294
2900000416307,14,7,8.333333333333334,4.189935029992179
2900000417663,8,0,2.6666666666666665,3.7712361663282534
2900000418073,24,16,13.333333333333334,9.977753031397176
2900000448520,25,20,15.0,10.801234497346433
2900000449732,14,5,6.333333333333333,5.792715732327589
2900000451452,14,14,11.333333333333334,3.7712361663282534
2900000452756,22,3,8.333333333333334,9.741092797468305
2900000476042,6,0,2.0,2.8284271247461903
2900000485990,22,5,10.0,8.524474568362947
2900000544765,10,9,8.666666666666666,1.247219128924647
2900000557161,5,0,1.6666666666666667,2.357022603955158
2900000562165,15,13,10.333333333333334,5.2493385826745405
2900000566378,37,0,12.333333333333334,17.441967269268172
2900000574274,4,0,1.3333333333333333,1.8856180831641267
2900000587649,11,0,3.6666666666666665,5.185449728701348
2900000588691,39,32,23.666666666666668,16.97710877099579
2900000604360,12,7,7.333333333333333,3.6817870057290873
2900000623040,6,3,3.0,2.449489742783178
2900000680036,9,0,3.0,4.242640687119285
2900000780040,2,1,1.0,0.816496580927726
2900000780743,17,2,6.333333333333333,7.586537784494029
2900000780835,13,4,6.666666666666667,4.4969125210773475
2900000781603,9,6,5.0,3.7416573867739413
2900000784918,34,16,17.0,13.490737563232042
2900000840164,11,6,5.666666666666667,4.4969125210773475
2900000840805,14,6,8.0,4.320493798938574
2900000845121,10,5,5.0,4.08248290463863
2900000847224,14,11,10.0,3.7416573867739413
2900000849785,19,19,13.333333333333334,8.013876853447538
2900000852525,17,9,10.333333333333334,4.988876515698588
2900000855502,5,2,2.3333333333333335,2.0548046676563256
2900000856585,2,2,1.3333333333333333,0.9428090415820634
2900000863286,11,3,5.333333333333333,4.0276819911981905
2900000863880,15,13,11.666666666666666,3.39934634239519
2900000864498,35,17,17.333333333333332,14.29063407348401
2900000870994,4,2,2.6666666666666665,0.9428090415820634
2900000874145,20,10,10.666666666666666,7.363574011458175
2900000874930,12,10,7.333333333333333,5.2493385826745405
2900000880467,4,3,2.3333333333333335,1.699673171197595
2900000883475,23,7,11.333333333333334,8.339997335464536
2900000883819,8,3,4.333333333333333,2.6246692913372702
2900000884007,27,0,9.0,12.727922061357855
2900000890688,18,5,7.666666666666667,7.586537784494028
2900000934474,19,7,10.333333333333334,6.182412330330469
2900000936997,10,8,6.0,4.320493798938574
2900000941830,19,13,12.0,6.164414002968976
2900001020541,13,0,4.333333333333333,6.128258770283412
2900001047739,15,11,12.333333333333334,1.8856180831641267
2900001050364,17,4,7.0,7.2571803523590805
2900001050500,14,10,9.333333333333334,4.109609335312651
2900001050791,36,22,22.666666666666668,10.624918300339486
2900001067881,16,2,6.0,7.118052168020874
2900001067911,9,8,6.666666666666667,2.6246692913372702
2900001068499,20,17,15.333333333333334,4.642796092394707
2900001068833,18,7,9.333333333333334,6.342099196813483
2900001078658,8,7,5.0,3.559026084010437
2900001090605,2,2,1.3333333333333333,0.9428090415820634
2900001092012,8,4,4.0,3.265986323710904
2900001093019,8,8,6.666666666666667,1.8856180831641267
2900001094702,17,15,11.666666666666666,6.182412330330469
2900001157902,22,10,10.666666666666666,8.993825042154695
2900001211239,18,8,8.666666666666666,7.363574011458175
2900001211321,15,4,6.333333333333333,6.342099196813483
2900001215688,23,6,11.333333333333334,8.259674462242577
2900001216616,19,17,16.0,2.943920288775949
2900001220255,10,5,6.666666666666667,2.357022603955158
2900001234399,11,7,6.666666666666667,3.6817870057290873
2900001238632,8,6,6.0,1.632993161855452
2900001240246,12,3,5.333333333333333,4.784233364802441
2900001255080,11,5,5.333333333333333,4.4969125210773475
2900001270014,3,0,1.0,1.4142135623730951
2900001270199,10,5,5.0,4.08248290463863
2900001270205,7,6,4.666666666666667,2.6246692913372702
2900001307901,11,0,3.6666666666666665,5.185449728701348
2900001308168,13,6,6.333333333333333,5.312459150169743
2900001331616,19,16,14.666666666666666,4.189935029992179
2900001355049,5,2,2.3333333333333335,2.0548046676563256
2900001364058,20,11,11.666666666666666,6.548960901462833
2900001398121,15,15,11.0,5.656854249492381
2900001413886,13,6,6.333333333333333,5.312459150169743
2900001419826,18,11,9.666666666666666,7.408703590297622
2900001421652,10,4,5.666666666666667,3.0912061651652345
2900001423069,7,3,4.0,2.160246899469287
2900001431651,7,0,2.3333333333333335,3.2998316455372216
2900001432658,28,17,19.333333333333332,6.342099196813483
2900001432672,15,6,7.666666666666667,5.436502143433363
2900001435116,3,0,1.0,1.4142135623730951
2900001436120,5,3,2.6666666666666665,2.0548046676563256
2900001436366,6,3,3.3333333333333335,2.0548046676563256
2900001436410,6,0,2.0,2.8284271247461903
2900001436700,9,5,4.666666666666667,3.6817870057290873
2900001437165,12,4,6.0,4.320493798938574
2900001437424,6,0,2.0,2.8284271247461903
2900001451932,12,10,9.333333333333334,2.494438257849294
2900001452366,19,0,6.333333333333333,8.956685895029603
2900001462648,8,7,5.0,3.559026084010437
2900001463379,8,5,5.0,2.449489742783178
2900001465380,14,1,5.0,6.377042156569663
2900001465816,12,4,5.666666666666667,4.642796092394707
2900001465960,16,7,7.666666666666667,6.548960901462833
2900001466509,3,2,2.0,0.816496580927726
2900001467353,16,9,11.0,3.559026084010437
2900001470780,6,5,4.333333333333333,1.699673171197595
2900001497336,5,0,1.6666666666666667,2.357022603955158
2900001509459,22,11,11.0,8.981462390204987
2900001540117,6,1,2.6666666666666665,2.3570226039551585
2900001540971,14,0,4.666666666666667,6.599663291074443
2900001550246,13,11,8.0,5.715476066494082
2900001568630,19,8,10.333333333333334,6.342099196813483
2900001575201,9,9,7.0,2.8284271247461903
2900001578363,17,14,12.0,5.0990195135927845
2900001582933,4,0,1.3333333333333333,1.8856180831641267
2900001645768,18,5,7.666666666666667,7.586537784494028
2900001661508,11,9,9.333333333333334,1.247219128924647
2900001663823,11,9,9.333333333333334,1.247219128924647
2900001668996,13,9,8.333333333333334,4.109609335312651
2900001671408,14,0,4.666666666666667,6.599663291074443
2900001684507,1,0,0.3333333333333333,0.4714045207910317
2900002532630,9,2,3.6666666666666665,3.8586123009300755
2900002542837,3,3,2.0,1.4142135623730951
2900002548457,8,5,5.666666666666667,1.699673171197595
2900002701746,27,6,11.333333333333334,11.2644968324772
2900002927733,21,4,9.333333333333334,8.259674462242577
2900002930092,15,8,9.333333333333334,4.189935029992179
2900002932416,27,18,19.333333333333332,5.792715732327588
2900002932614,13,11,10.666666666666666,2.0548046676563256
2900002933024,31,23,25.666666666666668,3.7712361663282534
2900002933918,14,2,5.333333333333333,6.18241233033047
2900002934304,11,11,10.333333333333334,0.9428090415820634
2900002934342,21,20,18.666666666666668,2.6246692913372702
2900002934762,7,6,5.0,2.160246899469287
2900002934892,18,4,8.333333333333334,6.847546194724712
2900002934915,10,9,8.666666666666666,1.247219128924647
2900002936520,5,3,2.6666666666666665,2.0548046676563256
2900002936940,26,11,12.333333333333334,10.656244908763853
2900002937428,10,9,9.0,0.816496580927726
2900002937503,18,12,10.333333333333334,7.039570693980959
2900002969559,5,0,1.6666666666666667,2.357022603955158
2900003105154,19,8,11.0,5.715476066494082
2900003105161,3,3,2.6666666666666665,0.4714045207910317
2900003106281,6,4,3.3333333333333335,2.494438257849294
2900003106502,9,3,4.0,3.7416573867739413
2900003107363,7,5,4.333333333333333,2.494438257849294
2900003108773,7,7,5.333333333333333,2.357022603955158
2900003110479,18,15,11.0,7.874007874011811
2900003114002,14,9,7.666666666666667,5.792715732327588
2900003114170,6,1,2.3333333333333335,2.6246692913372702
2900003114613,18,0,6.0,8.48528137423857
2900003114880,8,7,6.333333333333333,1.699673171197595
2900003115009,3,3,2.6666666666666665,0.4714045207910317
2900003116341,3,2,2.3333333333333335,0.4714045207910317
2900003116822,10,4,4.666666666666667,4.109609335312651
2900003117386,5,5,3.3333333333333335,2.3570226039551585
2900003120607,14,5,7.333333333333333,4.784233364802441
2900003122076,18,3,7.0,7.874007874011811
2900003123479,17,11,12.0,3.7416573867739413
6222021615010082737,6,4,3.3333333333333335,2.494438257849294
6227002180901670266,40,18,24.0,11.430952132988164
6227002180921663895,10,6,5.666666666666667,3.6817870057290873
