b,b_agg_user_max,b_agg_user_max_median,b_agg_user_max_mean,b_agg_user_max_std
14420.0,1.0,0.0,0.33,0.47
14421.0,1.0,1.0,1.0,0.0
14423.0,1.0,0.0,0.33,0.47
14425.0,1.0,1.0,0.67,0.47
14431.0,1.0,1.0,1.0,0.0
14435.0,5.0,1.0,2.33,1.89
14436.0,2.0,1.0,1.0,0.82
14440.0,4.0,2.0,2.0,1.63
14442.0,14.0,12.0,12.67,0.94
14443.0,4.0,2.0,2.0,1.63
14444.0,4.0,3.0,3.0,0.82
14445.0,5.0,3.0,3.67,0.94
14446.0,1.0,1.0,0.67,0.47
14447.0,1.0,0.0,0.33,0.47
14449.0,4.0,2.0,2.67,0.94
14454.0,1.0,0.0,0.33,0.47
14455.0,3.0,3.0,2.67,0.47
14456.0,1.0,0.0,0.33,0.47
14458.0,1.0,1.0,0.67,0.47
14460.0,3.0,3.0,2.67,0.47
14461.0,4.0,2.0,2.33,1.25
14475.0,13.0,11.0,11.33,1.25
14504.0,1.0,0.0,0.33,0.47
14507.0,2.0,1.0,1.33,0.47
14509.0,4.0,3.0,2.67,1.25
14510.0,1.0,0.0,0.33,0.47
14519.0,3.0,2.0,2.0,0.82
14524.0,1.0,0.0,0.33,0.47
14531.0,1.0,0.0,0.33,0.47
14539.0,3.0,2.0,1.67,1.25
14544.0,13.0,4.0,6.0,5.1
14545.0,5.0,3.0,3.33,1.25
14546.0,4.0,2.0,2.0,1.63
14556.0,2.0,1.0,1.0,0.82
14564.0,2.0,1.0,1.33,0.47
14570.0,2.0,1.0,1.33,0.47
14571.0,1.0,0.0,0.33,0.47
14573.0,5.0,3.0,2.67,2.05
14579.0,1.0,1.0,0.67,0.47
14580.0,2.0,1.0,1.0,0.82
14581.0,1.0,1.0,0.67,0.47
14585.0,1.0,1.0,0.67,0.47
14591.0,1.0,1.0,0.67,0.47
14592.0,1.0,0.0,0.33,0.47
14601.0,2.0,0.0,0.67,0.94
14612.0,1.0,0.0,0.33,0.47
14615.0,2.0,1.0,1.33,0.47
14618.0,1.0,0.0,0.33,0.47
14622.0,21.0,19.0,19.0,1.63
14623.0,1.0,0.0,0.33,0.47
14626.0,2.0,1.0,1.0,0.82
14627.0,2.0,1.0,1.0,0.82
14630.0,2.0,1.0,1.33,0.47
14648.0,1.0,0.0,0.33,0.47
14650.0,2.0,2.0,2.0,0.0
14651.0,11.0,4.0,5.67,3.86
14652.0,1.0,0.0,0.33,0.47
14661.0,1.0,1.0,0.67,0.47
14665.0,1.0,1.0,0.67,0.47
14667.0,2.0,1.0,1.0,0.82
14674.0,1.0,0.0,0.33,0.47
14677.0,1.0,0.0,0.33,0.47
14678.0,10.0,5.0,6.33,2.62
14682.0,2.0,1.0,1.0,0.82
14686.0,1.0,1.0,1.0,0.0
14688.0,1.0,0.0,0.33,0.47
14689.0,1.0,0.0,0.33,0.47
14691.0,2.0,0.0,0.67,0.94
14693.0,3.0,0.0,1.0,1.41
14694.0,2.0,1.0,1.0,0.82
14703.0,2.0,2.0,1.33,0.94
14705.0,7.0,3.0,4.0,2.16
14712.0,2.0,1.0,1.33,0.47
14714.0,4.0,1.0,1.67,1.7
14717.0,1.0,0.0,0.33,0.47
14719.0,2.0,0.0,0.67,0.94
14721.0,1.0,0.0,0.33,0.47
14722.0,1.0,1.0,0.67,0.47
14723.0,2.0,1.0,1.0,0.82
14724.0,1.0,0.0,0.33,0.47
14726.0,1.0,1.0,1.0,0.0
14727.0,2.0,2.0,1.67,0.47
14729.0,1.0,1.0,1.0,0.0
14730.0,1.0,0.0,0.33,0.47
14731.0,1.0,0.0,0.33,0.47
14732.0,4.0,0.0,1.33,1.89
14736.0,1.0,0.0,0.33,0.47
14737.0,4.0,2.0,2.67,0.94
14738.0,1.0,0.0,0.33,0.47
14739.0,1.0,0.0,0.33,0.47
14740.0,8.0,1.0,3.33,3.3
14742.0,2.0,2.0,1.33,0.94
14743.0,1.0,0.0,0.33,0.47
14746.0,1.0,0.0,0.33,0.47
14747.0,1.0,0.0,0.33,0.47
14752.0,5.0,4.0,3.33,1.7
14753.0,1.0,0.0,0.33,0.47
14757.0,1.0,0.0,0.33,0.47
14758.0,1.0,1.0,0.67,0.47
14759.0,3.0,3.0,2.67,0.47
14764.0,1.0,0.0,0.33,0.47
14767.0,1.0,0.0,0.33,0.47
14768.0,1.0,1.0,0.67,0.47
14770.0,1.0,1.0,0.67,0.47
14777.0,1.0,0.0,0.33,0.47
14779.0,2.0,1.0,1.0,0.82
14780.0,3.0,1.0,1.33,1.25
14781.0,1.0,1.0,0.67,0.47
14783.0,1.0,1.0,1.0,0.0
14784.0,2.0,2.0,1.33,0.94
14785.0,3.0,1.0,1.67,0.94
14786.0,2.0,0.0,0.67,0.94
14788.0,2.0,0.0,0.67,0.94
14789.0,5.0,4.0,3.0,2.16
14790.0,1.0,0.0,0.33,0.47
14792.0,1.0,0.0,0.33,0.47
14793.0,3.0,3.0,2.33,0.94
14794.0,10.0,9.0,9.0,0.82
14795.0,1.0,1.0,0.67,0.47
14797.0,3.0,0.0,1.0,1.41
14798.0,4.0,2.0,2.67,0.94
14799.0,1.0,0.0,0.33,0.47
14803.0,3.0,1.0,1.67,0.94
14804.0,4.0,0.0,1.33,1.89
14805.0,7.0,4.0,4.33,2.05
14807.0,3.0,2.0,2.33,0.47
14809.0,2.0,1.0,1.33,0.47
14810.0,18.0,12.0,11.67,5.31
14811.0,1.0,0.0,0.33,0.47
14818.0,1.0,0.0,0.33,0.47
14820.0,1.0,0.0,0.33,0.47
14821.0,1.0,0.0,0.33,0.47
14826.0,1.0,0.0,0.33,0.47
15001.0,4.0,3.0,3.0,0.82
15002.0,7.0,6.0,5.33,1.7
15007.0,1.0,0.0,0.33,0.47
15009.0,29.0,28.0,25.0,4.97
15011.0,12.0,10.0,9.33,2.49
15012.0,51.0,48.0,48.67,1.7
15015.0,1.0,0.0,0.33,0.47
15026.0,5.0,3.0,3.67,0.94
15028.0,3.0,1.0,1.33,1.25
15031.0,1.0,1.0,0.67,0.47
15032.0,1.0,0.0,0.33,0.47
15033.0,1.0,0.0,0.33,0.47
15036.0,4.0,1.0,1.67,1.7
15037.0,1.0,0.0,0.33,0.47
15038.0,9.0,5.0,6.33,1.89
15039.0,25.0,24.0,21.0,4.97
15042.0,6.0,0.0,2.0,2.83
15045.0,9.0,8.0,7.0,2.16
15048.0,2.0,1.0,1.0,0.82
15049.0,2.0,1.0,1.0,0.82
15052.0,43.0,39.0,40.0,2.16
15057.0,6.0,4.0,4.33,1.25
15060.0,22.0,6.0,10.0,8.64
15061.0,1.0,0.0,0.33,0.47
15063.0,2.0,1.0,1.33,0.47
15065.0,1.0,0.0,0.33,0.47
15066.0,14.0,12.0,11.0,2.94
15067.0,15.0,8.0,8.67,4.92
15073.0,6.0,6.0,5.33,0.94
15074.0,9.0,3.0,5.0,2.83
15077.0,3.0,1.0,1.33,1.25
15078.0,3.0,2.0,2.33,0.47
15081.0,1.0,0.0,0.33,0.47
15083.0,7.0,6.0,6.0,0.82
15092.0,16.0,10.0,11.67,3.09
15094.0,67.0,58.0,60.0,5.1
15100.0,1.0,0.0,0.33,0.47
15123.0,10.0,8.0,7.67,2.05
15542.0,1.0,1.0,0.67,0.47
15545.0,3.0,2.0,2.33,0.47
15546.0,1.0,0.0,0.33,0.47
15548.0,2.0,1.0,1.0,0.82
15552.0,2.0,1.0,1.33,0.47
15554.0,1.0,0.0,0.33,0.47
15557.0,1.0,1.0,0.67,0.47
15564.0,3.0,0.0,1.0,1.41
15570.0,2.0,1.0,1.0,0.82
15572.0,2.0,0.0,0.67,0.94
15576.0,1.0,0.0,0.33,0.47
15577.0,3.0,3.0,3.0,0.0
15583.0,1.0,0.0,0.33,0.47
15584.0,1.0,0.0,0.33,0.47
15585.0,1.0,0.0,0.33,0.47
15588.0,1.0,0.0,0.33,0.47
15589.0,1.0,1.0,0.67,0.47
15590.0,7.0,6.0,6.0,0.82
15600.0,1.0,0.0,0.33,0.47
15616.0,1.0,1.0,1.0,0.0
15629.0,1.0,0.0,0.33,0.47
15631.0,24.0,24.0,22.67,1.89
15632.0,7.0,3.0,3.33,2.87
15633.0,1.0,0.0,0.33,0.47
15635.0,2.0,1.0,1.0,0.82
15641.0,1.0,1.0,0.67,0.47
15647.0,1.0,1.0,1.0,0.0
15648.0,2.0,0.0,0.67,0.94
15649.0,1.0,1.0,0.67,0.47
15653.0,2.0,1.0,1.0,0.82
15655.0,2.0,1.0,1.0,0.82
15665.0,1.0,0.0,0.33,0.47
15667.0,3.0,0.0,1.0,1.41
15669.0,1.0,0.0,0.33,0.47
30004.0,2.0,0.0,0.67,0.94
30007.0,1.0,0.0,0.33,0.47
30017.0,3.0,2.0,2.0,0.82
30027.0,1.0,0.0,0.33,0.47
30033.0,1.0,0.0,0.33,0.47
30040.0,1.0,0.0,0.33,0.47
30046.0,1.0,1.0,1.0,0.0
30049.0,1.0,0.0,0.33,0.47
30053.0,1.0,0.0,0.33,0.47
30060.0,2.0,1.0,1.33,0.47
30063.0,1.0,0.0,0.33,0.47
30077.0,1.0,0.0,0.33,0.47
30080.0,2.0,0.0,0.67,0.94
30083.0,1.0,0.0,0.33,0.47
30105.0,1.0,1.0,0.67,0.47
30120.0,2.0,1.0,1.0,0.82
30123.0,3.0,0.0,1.0,1.41
30131.0,1.0,1.0,0.67,0.47
30139.0,1.0,0.0,0.33,0.47
30152.0,1.0,0.0,0.33,0.47
30170.0,17.0,12.0,12.67,3.3
30172.0,1.0,1.0,1.0,0.0
30180.0,1.0,1.0,0.67,0.47
30186.0,1.0,1.0,0.67,0.47
30192.0,4.0,2.0,2.33,1.25
30198.0,1.0,0.0,0.33,0.47
30204.0,2.0,0.0,0.67,0.94
30216.0,9.0,6.0,5.67,2.87
30228.0,2.0,2.0,1.33,0.94
30241.0,1.0,0.0,0.33,0.47
30248.0,133.0,129.0,129.67,2.49
30252.0,2.0,0.0,0.67,0.94
30253.0,1.0,1.0,0.67,0.47
30256.0,4.0,1.0,1.67,1.7
30258.0,1.0,0.0,0.33,0.47
30262.0,2.0,2.0,1.33,0.94
30269.0,6.0,1.0,2.67,2.36
30288.0,1.0,1.0,0.67,0.47
30307.0,1.0,0.0,0.33,0.47
30310.0,1.0,0.0,0.33,0.47
30337.0,1.0,0.0,0.33,0.47
30340.0,1.0,0.0,0.33,0.47
30355.0,4.0,1.0,1.67,1.7
30562.0,1.0,0.0,0.33,0.47
30564.0,1.0,0.0,0.33,0.47
30721.0,2.0,0.0,0.67,0.94
30723.0,1.0,0.0,0.33,0.47
30727.0,4.0,1.0,1.67,1.7
30734.0,1.0,0.0,0.33,0.47
30742.0,4.0,0.0,1.33,1.89
30750.0,1.0,1.0,0.67,0.47
30762.0,2.0,0.0,0.67,0.94
30764.0,1.0,0.0,0.33,0.47
30778.0,1.0,0.0,0.33,0.47
30789.0,2.0,0.0,0.67,0.94
30790.0,1.0,1.0,0.67,0.47
30793.0,1.0,1.0,0.67,0.47
30798.0,4.0,3.0,2.67,1.25
30804.0,1.0,0.0,0.33,0.47
30812.0,3.0,0.0,1.0,1.41
30814.0,1.0,0.0,0.33,0.47
30815.0,1.0,0.0,0.33,0.47
30819.0,2.0,2.0,1.33,0.94
30822.0,1.0,0.0,0.33,0.47
30825.0,1.0,0.0,0.33,0.47
30829.0,1.0,1.0,0.67,0.47
30831.0,1.0,0.0,0.33,0.47
30832.0,2.0,1.0,1.0,0.82
30833.0,10.0,3.0,4.33,4.19
30835.0,1.0,0.0,0.33,0.47
30838.0,1.0,0.0,0.33,0.47
31008.0,1.0,0.0,0.33,0.47
31017.0,6.0,2.0,3.0,2.16
31019.0,1.0,0.0,0.33,0.47
31027.0,5.0,3.0,3.0,1.63
31035.0,3.0,0.0,1.0,1.41
31037.0,1.0,0.0,0.33,0.47
31059.0,1.0,0.0,0.33,0.47
31067.0,1.0,0.0,0.33,0.47
31070.0,1.0,0.0,0.33,0.47
31094.0,1.0,0.0,0.33,0.47
31095.0,1.0,0.0,0.33,0.47
31133.0,1.0,1.0,1.0,0.0
31148.0,3.0,0.0,1.0,1.41
31160.0,1.0,0.0,0.33,0.47
31166.0,1.0,0.0,0.33,0.47
32006.0,3.0,2.0,1.67,1.25
32012.0,1.0,0.0,0.33,0.47
32047.0,1.0,0.0,0.33,0.47
32053.0,2.0,1.0,1.0,0.82
32116.0,1.0,0.0,0.33,0.47
32133.0,4.0,3.0,3.0,0.82
32169.0,1.0,0.0,0.33,0.47
32183.0,1.0,1.0,0.67,0.47
32188.0,3.0,1.0,1.33,1.25
32196.0,1.0,0.0,0.33,0.47
32215.0,2.0,0.0,0.67,0.94
32295.0,7.0,2.0,3.33,2.62
32322.0,1.0,0.0,0.33,0.47
32381.0,1.0,0.0,0.33,0.47
32395.0,1.0,0.0,0.33,0.47
32402.0,2.0,0.0,0.67,0.94
33009.0,1.0,0.0,0.33,0.47
33033.0,2.0,0.0,0.67,0.94
33046.0,3.0,3.0,2.67,0.47
33054.0,1.0,1.0,1.0,0.0
33080.0,1.0,0.0,0.33,0.47
34001.0,2.0,1.0,1.0,0.82
34005.0,1.0,0.0,0.33,0.47
34017.0,1.0,0.0,0.33,0.47
34020.0,1.0,0.0,0.33,0.47
34039.0,2.0,2.0,1.33,0.94
34040.0,1.0,0.0,0.33,0.47
34048.0,1.0,0.0,0.33,0.47
34074.0,1.0,1.0,0.67,0.47
34077.0,1.0,0.0,0.33,0.47
34079.0,1.0,1.0,0.67,0.47
34099.0,1.0,0.0,0.33,0.47
34106.0,1.0,0.0,0.33,0.47
34111.0,1.0,0.0,0.33,0.47
34119.0,1.0,0.0,0.33,0.47
34122.0,3.0,1.0,1.33,1.25
34129.0,4.0,1.0,2.0,1.41
34175.0,1.0,0.0,0.33,0.47
34194.0,1.0,0.0,0.33,0.47
34195.0,1.0,0.0,0.33,0.47
34214.0,5.0,1.0,2.0,2.16
34241.0,1.0,0.0,0.33,0.47
34384.0,1.0,0.0,0.33,0.47
34763.0,3.0,0.0,1.0,1.41
34764.0,3.0,0.0,1.0,1.41
34801.0,1.0,0.0,0.33,0.47
34811.0,1.0,0.0,0.33,0.47
34815.0,1.0,0.0,0.33,0.47
34818.0,1.0,0.0,0.33,0.47
34846.0,1.0,0.0,0.33,0.47
