c,c_i_agg_count_unique_max,c_i_agg_count_unique_median,c_i_agg_count_unique_mean,c_i_agg_count_unique_std
10000,10,10,9.0,1.4142135623730951
10001,3,2,2.3333333333333335,0.4714045207910317
10002,10,9,8.0,2.160246899469287
10008,5,4,3.0,2.160246899469287
10100,1,0,0.3333333333333333,0.4714045207910317
10101,1,0,0.3333333333333333,0.4714045207910317
10102,1,0,0.3333333333333333,0.4714045207910317
10103,1,0,0.3333333333333333,0.4714045207910317
10109,4,3,2.3333333333333335,1.699673171197595
10110,5,4,4.0,0.816496580927726
10111,1,1,0.6666666666666666,0.4714045207910317
10112,5,0,1.6666666666666667,2.357022603955158
10113,4,1,1.6666666666666667,1.699673171197595
10114,2,2,1.6666666666666667,0.4714045207910317
10116,10,8,8.0,1.632993161855452
10117,1,0,0.3333333333333333,0.4714045207910317
10119,24,18,17.333333333333332,5.734883511361751
10130,3,2,2.3333333333333335,0.4714045207910317
10131,1,1,1.0,0.0
10132,2,2,1.6666666666666667,0.4714045207910317
10133,1,0,0.3333333333333333,0.4714045207910317
10135,4,1,2.0,1.4142135623730951
10136,6,2,3.0,2.160246899469287
10137,4,3,2.6666666666666665,1.247219128924647
10140,3,2,2.0,0.816496580927726
10141,21,20,19.333333333333332,1.699673171197595
10150,13,12,12.0,0.816496580927726
10151,2,2,1.6666666666666667,0.4714045207910317
10152,5,1,2.3333333333333335,1.8856180831641267
10153,1,0,0.3333333333333333,0.4714045207910317
10200,9,4,4.666666666666667,3.299831645537222
10201,10,6,7.333333333333333,1.8856180831641267
10202,1,0,0.3333333333333333,0.4714045207910317
10300,7,4,4.0,2.449489742783178
10309,1,1,0.6666666666666666,0.4714045207910317
10310,1,1,0.6666666666666666,0.4714045207910317
10312,1,0,0.3333333333333333,0.4714045207910317
10319,1,0,0.3333333333333333,0.4714045207910317
10400,1,0,0.3333333333333333,0.4714045207910317
10401,4,3,2.3333333333333335,1.699673171197595
10410,1,1,0.6666666666666666,0.4714045207910317
10411,1,0,0.3333333333333333,0.4714045207910317
10420,3,1,1.3333333333333333,1.247219128924647
10421,3,1,1.3333333333333333,1.247219128924647
10422,2,1,1.3333333333333333,0.4714045207910317
10435,5,4,3.3333333333333335,1.699673171197595
10439,1,1,0.6666666666666666,0.4714045207910317
10440,3,2,1.6666666666666667,1.247219128924647
10441,3,1,1.3333333333333333,1.247219128924647
10443,1,0,0.3333333333333333,0.4714045207910317
10450,1,0,0.3333333333333333,0.4714045207910317
10454,2,1,1.0,0.816496580927726
10501,4,3,3.0,0.816496580927726
10502,4,1,2.0,1.4142135623730951
10603,1,0,0.3333333333333333,0.4714045207910317
11000,1,0,0.3333333333333333,0.4714045207910317
11002,1,0,0.3333333333333333,0.4714045207910317
11003,1,0,0.3333333333333333,0.4714045207910317
11004,2,1,1.0,0.816496580927726
11005,2,1,1.0,0.816496580927726
11008,1,1,0.6666666666666666,0.4714045207910317
11010,1,0,0.3333333333333333,0.4714045207910317
11011,7,6,5.0,2.160246899469287
11020,3,1,1.3333333333333333,1.247219128924647
11022,5,5,4.333333333333333,0.9428090415820634
11023,1,0,0.3333333333333333,0.4714045207910317
11030,2,0,0.6666666666666666,0.9428090415820634
11034,1,0,0.3333333333333333,0.4714045207910317
11044,1,0,0.3333333333333333,0.4714045207910317
11046,1,0,0.3333333333333333,0.4714045207910317
11052,3,2,2.3333333333333335,0.4714045207910317
11054,4,4,3.3333333333333335,0.9428090415820634
11055,3,1,1.3333333333333333,1.247219128924647
11056,7,5,4.0,2.943920288775949
11057,5,3,3.0,1.632993161855452
11058,1,1,0.6666666666666666,0.4714045207910317
11100,1,0,0.3333333333333333,0.4714045207910317
11101,2,1,1.0,0.816496580927726
11102,1,0,0.3333333333333333,0.4714045207910317
11104,2,2,1.6666666666666667,0.4714045207910317
11110,6,5,4.666666666666667,1.247219128924647
11111,2,1,1.3333333333333333,0.4714045207910317
11112,2,1,1.0,0.816496580927726
11114,3,1,1.6666666666666667,0.9428090415820634
11115,2,0,0.6666666666666666,0.9428090415820634
11120,1,0,0.3333333333333333,0.4714045207910317
11121,2,0,0.6666666666666666,0.9428090415820634
11141,1,1,1.0,0.0
11200,2,1,1.3333333333333333,0.4714045207910317
11201,2,1,1.0,0.816496580927726
11204,1,0,0.3333333333333333,0.4714045207910317
11205,2,0,0.6666666666666666,0.9428090415820634
11210,2,0,0.6666666666666666,0.9428090415820634
11220,7,4,4.666666666666667,1.699673171197595
11221,8,2,3.3333333333333335,3.39934634239519
11222,3,2,1.6666666666666667,1.247219128924647
11230,9,8,6.666666666666667,2.6246692913372702
11231,4,3,3.0,0.816496580927726
11232,1,0,0.3333333333333333,0.4714045207910317
11233,3,3,3.0,0.0
11234,1,0,0.3333333333333333,0.4714045207910317
11240,2,2,1.6666666666666667,0.4714045207910317
11241,2,2,1.6666666666666667,0.4714045207910317
11300,15,11,11.333333333333334,2.8674417556808756
11301,9,6,5.666666666666667,2.8674417556808756
11302,4,2,2.3333333333333335,1.247219128924647
11303,17,16,15.333333333333334,1.699673171197595
11304,5,2,2.6666666666666665,1.699673171197595
11305,2,1,1.0,0.816496580927726
11311,1,0,0.3333333333333333,0.4714045207910317
11312,1,0,0.3333333333333333,0.4714045207910317
11400,3,3,2.6666666666666665,0.4714045207910317
11413,1,0,0.3333333333333333,0.4714045207910317
11500,12,12,10.0,2.8284271247461903
11501,9,9,8.333333333333334,0.9428090415820634
11502,5,5,4.333333333333333,0.9428090415820634
11504,3,2,1.6666666666666667,1.247219128924647
11507,2,0,0.6666666666666666,0.9428090415820634
11508,1,1,1.0,0.0
11511,2,2,1.6666666666666667,0.4714045207910317
11513,1,0,0.3333333333333333,0.4714045207910317
11521,4,4,3.3333333333333335,0.9428090415820634
11522,4,3,2.3333333333333335,1.699673171197595
11530,1,1,0.6666666666666666,0.4714045207910317
11531,6,6,5.0,1.4142135623730951
11532,9,3,5.0,2.8284271247461903
11533,7,4,4.0,2.449489742783178
11540,1,0,0.3333333333333333,0.4714045207910317
14000,6,4,4.0,1.632993161855452
14001,2,1,1.0,0.816496580927726
14002,1,1,1.0,0.0
14010,6,5,5.0,0.816496580927726
14011,1,1,0.6666666666666666,0.4714045207910317
14012,1,0,0.3333333333333333,0.4714045207910317
14013,4,3,3.3333333333333335,0.4714045207910317
14014,2,2,1.6666666666666667,0.4714045207910317
14015,4,2,2.6666666666666665,0.9428090415820634
14020,5,4,4.0,0.816496580927726
14021,4,2,2.3333333333333335,1.247219128924647
14022,4,2,2.0,1.632993161855452
14031,2,1,1.0,0.816496580927726
14032,3,3,2.3333333333333335,0.9428090415820634
14033,5,3,3.3333333333333335,1.247219128924647
14034,5,3,3.0,1.632993161855452
14040,1,1,0.6666666666666666,0.4714045207910317
14041,1,0,0.3333333333333333,0.4714045207910317
14043,5,4,3.3333333333333335,1.699673171197595
14050,10,5,5.666666666666667,3.2998316455372216
14051,2,0,0.6666666666666666,0.9428090415820634
14052,8,8,7.666666666666667,0.4714045207910317
14054,11,6,6.666666666666667,3.2998316455372216
14060,5,4,3.6666666666666665,1.247219128924647
14061,2,2,1.6666666666666667,0.4714045207910317
14064,3,3,2.3333333333333335,0.9428090415820634
14070,2,2,2.0,0.0
14072,4,3,2.6666666666666665,1.247219128924647
14073,3,2,2.0,0.816496580927726
14074,1,0,0.3333333333333333,0.4714045207910317
14075,2,1,1.3333333333333333,0.4714045207910317
14076,6,5,5.0,0.816496580927726
14077,4,2,2.6666666666666665,0.9428090415820634
14078,1,0,0.3333333333333333,0.4714045207910317
14079,2,1,1.0,0.816496580927726
14080,6,4,4.666666666666667,0.9428090415820634
14081,2,2,1.6666666666666667,0.4714045207910317
14082,11,9,8.0,2.943920288775949
14083,3,3,3.0,0.0
14084,1,1,1.0,0.0
14090,10,7,8.0,1.4142135623730951
14091,17,15,14.666666666666666,2.0548046676563256
14092,18,17,17.0,0.816496580927726
14093,2,2,1.3333333333333333,0.9428090415820634
14094,1,1,1.0,0.0
14100,7,2,3.6666666666666665,2.3570226039551585
14101,6,4,4.333333333333333,1.247219128924647
14103,1,0,0.3333333333333333,0.4714045207910317
14105,3,3,2.3333333333333335,0.9428090415820634
14107,3,1,1.6666666666666667,0.9428090415820634
14108,2,0,0.6666666666666666,0.9428090415820634
14110,2,1,1.3333333333333333,0.4714045207910317
14111,1,1,1.0,0.0
14112,5,3,3.3333333333333335,1.247219128924647
14113,1,1,0.6666666666666666,0.4714045207910317
14120,2,2,1.6666666666666667,0.4714045207910317
14121,6,4,4.333333333333333,1.247219128924647
14130,16,7,8.666666666666666,5.436502143433364
14131,5,4,4.333333333333333,0.4714045207910317
14132,4,4,4.0,0.0
14133,2,1,1.0,0.816496580927726
14140,6,5,4.333333333333333,1.699673171197595
14141,2,2,1.6666666666666667,0.4714045207910317
14142,7,3,4.0,2.160246899469287
14145,3,0,1.0,1.4142135623730951
14200,12,9,9.666666666666666,1.699673171197595
14201,2,1,1.3333333333333333,0.4714045207910317
14202,2,0,0.6666666666666666,0.9428090415820634
14203,6,2,3.0,2.160246899469287
14207,2,1,1.3333333333333333,0.4714045207910317
14208,2,1,1.0,0.816496580927726
14209,5,0,1.6666666666666667,2.357022603955158
14211,1,0,0.3333333333333333,0.4714045207910317
14215,1,0,0.3333333333333333,0.4714045207910317
14216,1,0,0.3333333333333333,0.4714045207910317
14220,2,1,1.0,0.816496580927726
14222,6,4,4.333333333333333,1.247219128924647
14223,2,1,1.0,0.816496580927726
14230,1,0,0.3333333333333333,0.4714045207910317
14231,3,2,1.6666666666666667,1.247219128924647
14232,1,1,0.6666666666666666,0.4714045207910317
14233,1,0,0.3333333333333333,0.4714045207910317
14240,4,1,1.6666666666666667,1.699673171197595
14241,2,1,1.0,0.816496580927726
14242,1,1,0.6666666666666666,0.4714045207910317
14243,2,1,1.3333333333333333,0.4714045207910317
14250,3,2,2.0,0.816496580927726
14252,1,1,0.6666666666666666,0.4714045207910317
14253,1,0,0.3333333333333333,0.4714045207910317
14255,1,0,0.3333333333333333,0.4714045207910317
14258,2,1,1.3333333333333333,0.4714045207910317
14260,2,2,1.6666666666666667,0.4714045207910317
14261,2,1,1.3333333333333333,0.4714045207910317
14270,1,1,1.0,0.0
14271,1,1,0.6666666666666666,0.4714045207910317
14272,1,0,0.3333333333333333,0.4714045207910317
14275,7,4,4.666666666666667,1.699673171197595
14276,1,0,0.3333333333333333,0.4714045207910317
14280,1,1,0.6666666666666666,0.4714045207910317
14281,1,1,1.0,0.0
14283,1,0,0.3333333333333333,0.4714045207910317
14284,2,1,1.3333333333333333,0.4714045207910317
14300,6,5,4.0,2.160246899469287
14310,3,1,1.6666666666666667,0.9428090415820634
14340,1,0,0.3333333333333333,0.4714045207910317
14342,4,2,2.0,1.632993161855452
14351,1,0,0.3333333333333333,0.4714045207910317
14352,2,0,0.6666666666666666,0.9428090415820634
14366,1,0,0.3333333333333333,0.4714045207910317
14401,6,1,2.3333333333333335,2.6246692913372702
14402,1,1,0.6666666666666666,0.4714045207910317
14403,2,2,1.6666666666666667,0.4714045207910317
14404,1,0,0.3333333333333333,0.4714045207910317
14405,6,1,2.3333333333333335,2.6246692913372702
14406,1,1,0.6666666666666666,0.4714045207910317
14407,2,1,1.0,0.816496580927726
14409,1,0,0.3333333333333333,0.4714045207910317
14504,2,1,1.0,0.816496580927726
14513,11,5,6.666666666666667,3.0912061651652345
14515,1,1,0.6666666666666666,0.4714045207910317
14520,1,0,0.3333333333333333,0.4714045207910317
14521,4,1,2.0,1.4142135623730951
14525,3,2,2.0,0.816496580927726
14528,1,0,0.3333333333333333,0.4714045207910317
14530,3,1,1.6666666666666667,0.9428090415820634
14531,5,2,3.0,1.4142135623730951
14532,1,0,0.3333333333333333,0.4714045207910317
14540,2,1,1.0,0.816496580927726
14541,1,1,0.6666666666666666,0.4714045207910317
14543,2,1,1.0,0.816496580927726
14550,1,0,0.3333333333333333,0.4714045207910317
14551,1,1,0.6666666666666666,0.4714045207910317
14552,2,0,0.6666666666666666,0.9428090415820634
14560,2,1,1.3333333333333333,0.4714045207910317
14561,1,0,0.3333333333333333,0.4714045207910317
14563,2,0,0.6666666666666666,0.9428090415820634
14570,3,2,2.0,0.816496580927726
14572,1,1,0.6666666666666666,0.4714045207910317
14573,2,1,1.0,0.816496580927726
14580,3,1,1.6666666666666667,0.9428090415820634
14583,1,1,0.6666666666666666,0.4714045207910317
14585,1,1,0.6666666666666666,0.4714045207910317
14590,1,0,0.3333333333333333,0.4714045207910317
14593,4,2,2.6666666666666665,0.9428090415820634
14594,5,4,3.6666666666666665,1.247219128924647
14596,4,1,2.0,1.4142135623730951
14613,1,0,0.3333333333333333,0.4714045207910317
14617,1,0,0.3333333333333333,0.4714045207910317
14620,1,1,0.6666666666666666,0.4714045207910317
14630,2,2,2.0,0.0
14631,1,1,0.6666666666666666,0.4714045207910317
14632,2,1,1.0,0.816496580927726
14633,2,1,1.0,0.816496580927726
14635,2,0,0.6666666666666666,0.9428090415820634
14636,2,2,1.3333333333333333,0.9428090415820634
14640,1,0,0.3333333333333333,0.4714045207910317
14644,2,0,0.6666666666666666,0.9428090415820634
14650,2,1,1.0,0.816496580927726
14651,1,1,0.6666666666666666,0.4714045207910317
14653,1,0,0.3333333333333333,0.4714045207910317
14655,2,1,1.0,0.816496580927726
14660,1,0,0.3333333333333333,0.4714045207910317
14661,4,2,2.6666666666666665,0.9428090415820634
14663,1,1,0.6666666666666666,0.4714045207910317
14700,2,1,1.0,0.816496580927726
14701,3,2,1.6666666666666667,1.247219128924647
14705,2,1,1.3333333333333333,0.4714045207910317
14710,5,4,3.6666666666666665,1.247219128924647
14714,1,1,0.6666666666666666,0.4714045207910317
14715,1,1,0.6666666666666666,0.4714045207910317
14720,2,2,1.6666666666666667,0.4714045207910317
14721,18,14,14.333333333333334,2.8674417556808756
14722,17,15,14.333333333333334,2.494438257849294
14723,6,4,4.333333333333333,1.247219128924647
14730,2,0,0.6666666666666666,0.9428090415820634
14732,2,0,0.6666666666666666,0.9428090415820634
14733,2,0,0.6666666666666666,0.9428090415820634
14741,1,0,0.3333333333333333,0.4714045207910317
14750,12,10,10.333333333333334,1.247219128924647
14753,1,1,0.6666666666666666,0.4714045207910317
14754,3,1,1.3333333333333333,1.247219128924647
14760,1,0,0.3333333333333333,0.4714045207910317
14770,2,2,1.6666666666666667,0.4714045207910317
14771,1,1,0.6666666666666666,0.4714045207910317
14774,2,1,1.0,0.816496580927726
14775,1,0,0.3333333333333333,0.4714045207910317
14777,2,1,1.0,0.816496580927726
14800,5,3,3.6666666666666665,0.9428090415820634
14801,4,1,1.6666666666666667,1.699673171197595
14802,9,8,7.666666666666667,1.247219128924647
14804,2,1,1.0,0.816496580927726
14810,1,1,0.6666666666666666,0.4714045207910317
14811,6,4,4.333333333333333,1.247219128924647
14812,5,2,2.6666666666666665,1.699673171197595
14813,2,1,1.3333333333333333,0.4714045207910317
14814,3,1,1.6666666666666667,0.9428090415820634
14815,3,3,2.6666666666666665,0.4714045207910317
14818,1,0,0.3333333333333333,0.4714045207910317
14820,4,2,2.3333333333333335,1.247219128924647
14821,1,0,0.3333333333333333,0.4714045207910317
14822,6,3,4.0,1.4142135623730951
14823,1,1,0.6666666666666666,0.4714045207910317
14826,4,2,2.0,1.632993161855452
14827,1,0,0.3333333333333333,0.4714045207910317
14828,2,0,0.6666666666666666,0.9428090415820634
14830,10,6,7.0,2.160246899469287
14831,9,8,8.0,0.816496580927726
14832,1,1,0.6666666666666666,0.4714045207910317
14833,3,3,2.3333333333333335,0.9428090415820634
14834,9,2,4.333333333333333,3.299831645537222
14835,12,3,5.333333333333333,4.784233364802441
14836,4,4,3.6666666666666665,0.4714045207910317
14837,5,2,2.3333333333333335,2.0548046676563256
14838,2,0,0.6666666666666666,0.9428090415820634
14839,5,3,3.0,1.632993161855452
14840,2,1,1.0,0.816496580927726
14841,4,1,1.6666666666666667,1.699673171197595
14842,6,1,2.3333333333333335,2.6246692913372702
14843,4,3,3.0,0.816496580927726
14844,7,4,4.666666666666667,1.699673171197595
14845,5,3,3.6666666666666665,0.9428090415820634
14846,7,6,4.666666666666667,2.6246692913372702
14847,2,1,1.0,0.816496580927726
14850,3,2,2.0,0.816496580927726
14851,3,1,1.6666666666666667,0.9428090415820634
14852,1,0,0.3333333333333333,0.4714045207910317
14853,2,0,0.6666666666666666,0.9428090415820634
14860,7,5,5.333333333333333,1.247219128924647
14861,3,2,2.0,0.816496580927726
14862,2,0,0.6666666666666666,0.9428090415820634
14863,5,2,3.0,1.4142135623730951
14865,1,0,0.3333333333333333,0.4714045207910317
14870,3,1,1.3333333333333333,1.247219128924647
14871,1,1,0.6666666666666666,0.4714045207910317
14872,1,1,0.6666666666666666,0.4714045207910317
14873,3,2,2.0,0.816496580927726
14874,1,1,1.0,0.0
14900,10,8,8.666666666666666,0.9428090415820634
14901,1,1,0.6666666666666666,0.4714045207910317
14902,1,0,0.3333333333333333,0.4714045207910317
14903,4,1,1.6666666666666667,1.699673171197595
14905,5,2,2.3333333333333335,2.0548046676563256
14906,6,1,2.6666666666666665,2.3570226039551585
14911,2,1,1.0,0.816496580927726
14912,2,0,0.6666666666666666,0.9428090415820634
14914,2,0,0.6666666666666666,0.9428090415820634
14916,5,4,3.6666666666666665,1.247219128924647
14917,3,1,1.6666666666666667,0.9428090415820634
14920,1,0,0.3333333333333333,0.4714045207910317
14924,1,0,0.3333333333333333,0.4714045207910317
14925,1,0,0.3333333333333333,0.4714045207910317
14926,1,1,0.6666666666666666,0.4714045207910317
14928,1,0,0.3333333333333333,0.4714045207910317
14930,1,0,0.3333333333333333,0.4714045207910317
14931,2,0,0.6666666666666666,0.9428090415820634
14932,4,2,2.6666666666666665,0.9428090415820634
14933,1,0,0.3333333333333333,0.4714045207910317
14940,1,0,0.3333333333333333,0.4714045207910317
14943,2,0,0.6666666666666666,0.9428090415820634
14944,1,0,0.3333333333333333,0.4714045207910317
14956,3,2,1.6666666666666667,1.247219128924647
15000,6,5,4.333333333333333,1.699673171197595
15002,1,0,0.3333333333333333,0.4714045207910317
15004,15,14,13.0,2.160246899469287
15005,1,1,0.6666666666666666,0.4714045207910317
15010,2,1,1.0,0.816496580927726
15012,4,2,2.0,1.632993161855452
15019,5,2,2.3333333333333335,2.0548046676563256
15021,4,1,1.6666666666666667,1.699673171197595
15022,2,1,1.0,0.816496580927726
15029,2,0,0.6666666666666666,0.9428090415820634
15100,1,0,0.3333333333333333,0.4714045207910317
15101,3,2,2.0,0.816496580927726
15102,1,1,0.6666666666666666,0.4714045207910317
15103,1,1,0.6666666666666666,0.4714045207910317
15104,7,6,5.666666666666667,1.247219128924647
15105,1,0,0.3333333333333333,0.4714045207910317
15110,33,32,32.0,0.816496580927726
15111,6,5,5.0,0.816496580927726
15113,4,3,3.3333333333333335,0.4714045207910317
15114,13,11,11.0,1.632993161855452
